Company Name,Stock Code,Report Date,Beg.Amt,End.Amt,Investment Return,Currency Derivative?end value?,Commodity/Index Futures(end),Interest Derivative (end),Cashflow Hedge,Equity Options,Derivative Usage Dummy,oversea 
??????????,562,20121231,226620,-12709440,,,426.67566,,,,,
??????????,562,20131231,-12709440,9752700,,,366.3504,,,,,
??????????,589,20081231,,-4357664.89,,,yes,,,,,
????????????,626,20071231,,-830010,,,yes,,,,,
????????????,626,20081231,-830010,-6881151.8,,,yes,,,,,
????????????,626,20091231,-6881151.8,5715301.8,,,yes,,,,,
????????????,626,20101231,5715301.8,-3389314.95,,yes,yes,,,,,
????????????,626,20111231,-3389314.95,7353316.95,,yes,yes,,,,,
????????????,626,20121231,7353316.95,-54043463.2,,,yes,,,,,
????????????,626,20131231,-54043463.2,101857525.3,,,yes,,,,,
????????????,626,20141231,101857525.3,-142526762.3,,,13048.5846,,,,,
????????????,651,20091231,,2307044.77,,59.444,29.5893,,yes,,,
????????????,651,20101231,2307044.77,69192469.15,,161.514107,50.0457329,,yes,,,
????????????,651,20111231,69192469.15,-57508666.64,,75.72925822,49.68598231,,,,,
????????????,651,20121231,-57508666.64,246884832.1,,263.4600174,13.75294026,,,,,
????????????,651,20131231,246884832.1,990563610.1,,1246.1066,15.2053,,yes,,,
????????????,651,20141231,990563610.1,-1381551572,,299.881,49.9902,,yes,,,
????????????,651,20151231,-1381551572,-1010322499,,1189.0284,43.4429,,yes,,,
?????????????,683,20131231,,43750,,,0.35375,,,,,
?????????????,683,20141231,43750,0,,,,,,,,
??????????,686,20121231,,-702600,,,11.418315,,,,,
??????????,686,20131231,-702600,929400,,,21.2904,,,,,
??????????,686,20141231,929400,-226800,,,,,,,,
??????????,686,20151231,-226800,-68546071.68,,,148.1985728,4700,,,,
??????????,701,20131231,,854474.14,,43.47415,,,,,,
??????????,701,20141231,,-854474.14,,15.199,,,,,,
??????????,701,20151231,-854474.14,1005260.22,,1154.71475,,,,,,
??????????,703,20131231,,16268273.3,,720.92,164.92,,,,,
??????????,703,20141231,16268273.3,-17617037.3,,1070.83,3.14,,yes,,,
??????????,703,20151231,-17617037.3,25757225.29,,6928.4324,435.65,,yes,,,
,712,20141231,,32933.22,,,,100000000,,,,
????????????,712,20151231,32933.22,-9183.22,,,4028000,700000000,,,,
????????????,717,20131231,-7915477.6,7915477.6,,yes,,,,,,
????????????,717,20141231,7915477.6,0,,yes,,,,,,
????????????,717,20151231,0,6626040.72,,1445.599,4.325,19.4808,,,,
????????????,723,20151231,-565795,0,,,yes,,,,,
??????????,726,20101231,,-19039237,,2508.330543,,,,,,
??????????,726,20111231,-19039237,-19478820,,3367.88857,,,,,,
??????????,726,20121231,-19478820,-2550739,,954.842259,,,,,,
??????????,726,20131231,-2550739,11560479,,984.4979,,yes,,,,
??????????,728,20071231,-5440971.25,255085035.6,,,,,,yes,,
??????????,728,20081231,255085035.6,-258251481.5,,,,,,yes,,
??????????,728,20091231,-258251481.5,0,,,,,,yes,,
??????????,728,20101231,,,,,yes,,,,,
,,20121231,,,,,yes,,,,,
,,20131231,,,,,yes,,,,,
,,20141231,,-935640,,,31.2826,,,,,
??????????,728,20151231,-935640,1428420,,,812.71945,,,,,
??????????,750,20131231,,345268.48,,,42.29184,,,,,
??????????,750,20141231,345268.48,-990168.48,,,4.6743,,,,,
??????????,750,20151231,-990168.48,-23307690.94,,,3.15136,,,144.0223571,,
